trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
11062749-MM2025-InvFes-Dimanche-00,11:57:00,11:57:00,MM06,7,0,0
11062749-MM2025-InvFes-Dimanche-00,12:03:00,12:03:00,MM08,8,0,0
11062750-MM2025-InvFes-Dimanche-00,12:05:00,12:05:00,MM03,1,0,0
11062750-MM2025-InvFes-Dimanche-00,12:09:00,12:09:00,MM02,2,0,0
11062750-MM2025-InvFes-Dimanche-00,12:11:00,12:11:00,MM01,3,0,0
11062750-MM2025-InvFes-Dimanche-00,12:12:38,12:12:38,MM04,4,0,0
11062750-MM2025-InvFes-Dimanche-00,12:14:00,12:14:00,MM05,5,0,0
11062750-MM2025-InvFes-Dimanche-00,12:15:51,12:15:51,MM07,6,0,0
11062750-MM2025-InvFes-Dimanche-00,12:17:00,12:17:00,MM06,7,0,0
11062750-MM2025-InvFes-Dimanche-00,12:23:00,12:23:00,MM08,8,0,0
11062751-MM2025-InvFes-Dimanche-00,12:15:00,12:15:00,MM03,1,0,0
11062751-MM2025-InvFes-Dimanche-00,12:19:00,12:19:00,MM02,2,0,0
11062751-MM2025-InvFes-Dimanche-00,12:21:00,12:21:00,MM01,3,0,0
11062751-MM2025-InvFes-Dimanche-00,12:22:38,12:22:38,MM04,4,0,0
11062751-MM2025-InvFes-Dimanche-00,12:24:00,12:24:00,MM05,5,0,0
11062751-MM2025-InvFes-Dimanche-00,12:25:51,12:25:51,MM07,6,0,0
11062751-MM2025-InvFes-Dimanche-00,12:27:00,12:27:00,MM06,7,0,0
11062751-MM2025-InvFes-Dimanche-00,12:33:00,12:33:00,MM08,8,0,0
11062752-MM2025-InvFes-Dimanche-00,12:25:00,12:25:00,MM03,1,0,0
11062752-MM2025-InvFes-Dimanche-00,12:29:00,12:29:00,MM02,2,0,0
11062752-MM2025-InvFes-Dimanche-00,12:31:00,12:31:00,MM01,3,0,0
11062752-MM2025-InvFes-Dimanche-00,12:32:38,12:32:38,MM04,4,0,0
11062752-MM2025-InvFes-Dimanche-00,12:34:00,12:34:00,MM05,5,0,0
11062752-MM2025-InvFes-Dimanche-00,12:35:51,12:35:51,MM07,6,0,0
11062752-MM2025-InvFes-Dimanche-00,12:37:00,12:37:00,MM06,7,0,0
11062752-MM2025-InvFes-Dimanche-00,12:43:00,12:43:00,MM08,8,0,0
11062753-MM2025-InvFes-Dimanche-00,12:45:00,12:45:00,MM03,1,0,0
11062753-MM2025-InvFes-Dimanche-00,12:49:00,12:49:00,MM02,2,0,0
11062753-MM2025-InvFes-Dimanche-00,12:51:00,12:51:00,MM01,3,0,0
11062753-MM2025-InvFes-Dimanche-00,12:52:38,12:52:38,MM04,4,0,0
11062753-MM2025-InvFes-Dimanche-00,12:54:00,12:54:00,MM05,5,0,0
11062753-MM2025-InvFes-Dimanche-00,12:55:51,12:55:51,MM07,6,0,0
11062753-MM2025-InvFes-Dimanche-00,12:57:00,12:57:00,MM06,7,0,0
